jack war_and_peace:1,midsummersnightsdream:1
jade muchadoaboutnothing:3,measureforemeasure:3,troilusandcressida:1,twelfthnight:1
january war_and_peace:1,test2:1
jest war_and_peace:3,tamingoftheshrew:7,anna_karenhina:8,twelfthnight:3,midsummersnightsdream:4
jester muchadoaboutnothing:6,twelfthnight:1
jests war_and_peace:3,troilusandcressida:1,anna_karenhina:1,twelfthnight:2
jewel loveslabourslost:2,tamingoftheshrew:1,twelfthnight:3,midsummersnightsdream:1
jig muchadoaboutnothing:6,loveslabourslost:2,twelfthnight:1
john NotreDame_De_Paris:4,war_and_peace:1,tamingoftheshrew:1,anna_karenhina:3
jove loveslabourslost:1,tamingoftheshrew:1,troilusandcressida:12,anna_karenhina:1,twelfthnight:9,midsummersnightsdream:1
joy war_and_peace:18,tamingoftheshrew:1,troilusandcressida:2,anna_karenhina:26,midsummersnightsdream:8
judgment measureforemeasure:4,war_and_peace:11,troilusandcressida:6,anna_karenhina:6,twelfthnight:1,midsummersnightsdream:2
july war_and_peace:1,anna_karenhina:3
jacks muchadoaboutnothing:3
justice war_and_peace:3,troilusandcressida:2,anna_karenhina:15
justly war_and_peace:1,anna_karenhina:1,twelfthnight:1
jealous war_and_peace:2,tamingoftheshrew:1,troilusandcressida:1,anna_karenhina:18,twelfthnight:1,midsummersnightsdream:2
jealousy war_and_peace:2,troilusandcressida:1,anna_karenhina:23,twelfthnight:2,midsummersnightsdream:2
jesting war_and_peace:6,troilusandcressida:1,anna_karenhina:7,twelfthnight:1
jew war_and_peace:1,anna_karenhina:2,midsummersnightsdream:1
join war_and_peace:15,anna_karenhina:6,midsummersnightsdream:2
jollity comedyoferrors:3,midsummersnightsdream:2
jewels comedyoferrors:1,midsummersnightsdream:1
juggler comedyoferrors:1,NotreDame_De_Paris:1,midsummersnightsdream:1
judgement comedyoferrors:3,loveslabourslost:3,war_and_peace:2,midsummersnightsdream:1
jars comedyoferrors:3
jeer NotreDame_De_Paris:2,anna_karenhina:2
joyful war_and_peace:8,tamingoftheshrew:1,anna_karenhina:6
jugglers comedyoferrors:3
jays merrywivesofwindsor:3
jealousies merrywivesofwindsor:9,NotreDame_De_Paris:3,anna_karenhina:1
jenny merrywivesofwindsor:3
jointure merrywivesofwindsor:3
judge war_and_peace:5,anna_karenhina:16,twelfthnight:1,midsummersnightsdream:1
jamany merrywivesofwindsor:3
jarteer merrywivesofwindsor:3
job war_and_peace:2,anna_karenhina:2
juice merrywivesofwindsor:3,midsummersnightsdream:6
jupiter NotreDame_De_Paris:27,troilusandcressida:5
jacet allswellthatendswell:3
jaques allswellthatendswell:15,loveslabourslost:3
judgments allswellthatendswell:1,NotreDame_De_Paris:1,troilusandcressida:1
juno allswellthatendswell:3,loveslabourslost:2,troilusandcressida:1
justified war_and_peace:3,anna_karenhina:3
jades allswellthatendswell:6
jeweller allswellthatendswell:3
justices NotreDame_De_Paris:1,anna_karenhina:5
jarring allswellthatendswell:1,war_and_peace:1,tamingoftheshrew:1,anna_karenhina:1
jowl NotreDame_De_Paris:1,war_and_peace:1
judges measureforemeasure:1,war_and_peace:4
j war_and_peace:1,anna_karenhina:2
jackal NotreDame_De_Paris:3
jacob war_and_peace:1
jacques NotreDame_De_Paris:18
jailer NotreDame_De_Paris:6
jailers NotreDame_De_Paris:3
janitor NotreDame_De_Paris:3
janvier NotreDame_De_Paris:3
jaws NotreDame_De_Paris:2,war_and_peace:2,troilusandcressida:1,anna_karenhina:3,twelfthnight:1,midsummersnightsdream:1
jean NotreDame_De_Paris:7
jeering NotreDame_De_Paris:1,anna_karenhina:2
jehan NotreDame_De_Paris:23
jehau NotreDame_De_Paris:3
jerkin NotreDame_De_Paris:3,war_and_peace:1,troilusandcressida:1,anna_karenhina:3
jesus NotreDame_De_Paris:4,war_and_peace:9
jeune NotreDame_De_Paris:9,war_and_peace:4
jews war_and_peace:1,anna_karenhina:3
jingle war_and_peace:1
johannis NotreDame_De_Paris:3
joie NotreDame_De_Paris:3
joined war_and_peace:14,anna_karenhina:14
jolly NotreDame_De_Paris:2,war_and_peace:3,anna_karenhina:3,twelfthnight:1
jolt war_and_peace:1
josas NotreDame_De_Paris:24
jour NotreDame_De_Paris:6
