xi war_and_peace:12
xiv war_and_peace:15
xii war_and_peace:11
xaxov NotreDame_De_Paris:3
xiii war_and_peace:10
xv war_and_peace:11
xvi war_and_peace:15
x war_and_peace:16,troilusandcressida:1
xix war_and_peace:6
xvii war_and_peace:6
xviii war_and_peace:8
xx war_and_peace:4
xxi war_and_peace:3
xxii war_and_peace:3
xxiii war_and_peace:1
xxiv war_and_peace:1
xxv war_and_peace:1
xxvi war_and_peace:1
xxvii war_and_peace:9
xxviii war_and_peace:9
xxix war_and_peace:6
xxx war_and_peace:6
xxxi war_and_peace:6
xxxii war_and_peace:6
xxxiii war_and_peace:6
xxxiv war_and_peace:6
xxxix war_and_peace:3
xxxv war_and_peace:3
xxxvi war_and_peace:3
xxxvii war_and_peace:3
xxxviii war_and_peace:3
xanthippe tamingoftheshrew:3
